"","x"
"1","https://www.nytimes.com/2019/04/01/opinion/mueller-report-trump.html"
"2","https://www.nytimes.com/2019/03/28/opinion/the-argument-mueller-report-electoral-college.html"
"3","https://www.nytimes.com/interactive/2019/03/31/us/politics/trump-investigations-that-grew-out-of-mueller.html"
"4","https://www.nytimes.com/2019/04/03/us/politics/william-barr-mueller-report.html"
"5","https://www.nytimes.com/2019/03/29/us/politics/barr-mueller-report.html"
"6","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-congress-russia-probe-the-latest.html"
"7","https://www.nytimes.com/aponline/2019/03/29/us/ap-us-books-mueller-report.html"
"8","https://www.nytimes.com/aponline/2019/04/01/us/politics/ap-us-congress-russia-probe.html"
"9","https://www.nytimes.com/aponline/2019/03/29/us/politics/ap-us-congress-russia-probe.html"
"10","https://www.nytimes.com/aponline/2019/04/03/us/politics/ap-us-congress-russia-probe.html"
"11","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-mueller-the-evidence.html"
"12","https://www.nytimes.com/aponline/2019/03/30/us/politics/ap-us-congress-russia-probe.html"
"13","https://www.nytimes.com/2019/04/03/world/europe/mueller-trump-russia-deripaska.html"
"14","https://www.nytimes.com/2019/03/31/arts/television/saturday-night-live-mueller-finall-report-russia-trump.html"
"15","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-trump.html"
"16","https://www.nytimes.com/reuters/2019/04/01/us/politics/01reuters-usa-trump-subpoenas.html"
"17","https://www.nytimes.com/reuters/2019/03/29/world/europe/29reuters-usa-trump-russia.html"
"18","https://www.nytimes.com/reuters/2019/04/03/us/politics/03reuters-usa-trump-russia-vote.html"
"19","https://www.nytimes.com/reuters/2019/03/29/world/europe/29reuters-usa-trump-russia-nadler.html"
"20","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-trump-russia-probe.html"
"21","https://www.nytimes.com/reuters/2019/03/28/us/politics/28reuters-usa-trump-russia.html"
"22","https://www.nytimes.com/reuters/2019/03/29/world/europe/29reuters-usa-trump-russia-collins.html"
"23","https://www.nytimes.com/reuters/2019/04/03/us/politics/03reuters-usa-trump-russia-subpoena-explainer.html"
"24","https://www.nytimes.com/reuters/2019/04/02/world/europe/02reuters-usa-trump-russia-subpoena-explainer.html"
"25","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-congress-russia-probe.html"
"26","https://www.nytimes.com/2019/03/29/us/politics/trump-fact-check-mueller-report.html"
"27","https://www.nytimes.com/2019/03/28/world/europe/brexit-news.html"
"28","https://www.nytimes.com/2019/03/28/us/politics/adam-schiff-resign.html"
"29","https://www.nytimes.com/reuters/2019/03/28/us/28reuters-usa-trump-russia-voters.html"
"30","https://www.nytimes.com/2019/04/01/us/politics/mueller-report-subpoena.html"
"31","https://www.nytimes.com/2019/03/28/us/politics/mueller-report-length.html"
"32","https://www.nytimes.com/2019/03/28/us/politics/trump-rally-grand-rapids.html"
"33","https://www.nytimes.com/2019/03/29/briefing/mueller-report-brexit-ncaa.html"
"34","https://www.nytimes.com/2019/04/03/world/europe/ireland-northern-ireland-brexit-backstop.html"
"35","https://www.nytimes.com/2019/03/29/world/europe/brexit-britain-theresa-may.html"
"36","https://www.nytimes.com/2019/03/30/world/europe/uk-brexit-democracy-may.html"
"37","https://www.nytimes.com/2019/03/28/opinion/trump-mueller-russia-report.html"
"38","https://www.nytimes.com/video/us/politics/100000006443197/mueller-report-nadler.html"
"39","https://www.nytimes.com/2019/03/29/opinion/mueller-report-russia.html"
"40","https://www.nytimes.com/2019/04/02/opinion/trump-mueller-obamacare.html"
"41","https://www.nytimes.com/2019/03/28/arts/television/colbert-mike-lee-green-new-deal.html"
"42","https://www.nytimes.com/aponline/2019/03/29/us/politics/ap-us-congress-russia-probe-the-latest.html"
"43","https://www.nytimes.com/2019/04/01/opinion/trump-mueller-barr-letter.html"
"44","https://www.nytimes.com/2019/03/29/podcasts/daily-newsletter-kim-foxx-mueller-report-barr.html"
"45","https://www.nytimes.com/aponline/2019/03/29/us/ap-us-trump-russia-probe-voters.html"
"46","https://www.nytimes.com/reuters/2019/04/03/us/politics/03reuters-usa-trump-russia-subpoenas.html"
"47","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-russia-covert-agent.html"
"48","https://www.nytimes.com/aponline/2019/03/28/us/ap-us-trump-pardons.html"
"49","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-trump-the-latest.html"
"50","https://www.nytimes.com/aponline/2019/04/02/us/ap-us-media-fighting-back.html"
"51","https://www.nytimes.com/aponline/2019/03/29/us/ap-10-things-to-know-today.html"
"52","https://www.nytimes.com/2019/03/30/us/politics/mueller-affordable-care-act.html"
"53","https://www.nytimes.com/2019/04/03/us/politics/mueller-report-subpoena-house.html"
"54","https://www.nytimes.com/reuters/2019/04/03/sports/soccer/03reuters-soccer-germany-bay-hei-report.html"
"55","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-trump-fact-check.html"
"56","https://www.nytimes.com/aponline/2019/04/01/us/politics/ap-us-fact-check-week.html"
"57","https://www.nytimes.com/interactive/2019/03/29/briefing/29weeklynewsquiz.html"
"58","https://www.nytimes.com/reuters/2019/03/27/sports/soccer/27reuters-soccer-germany-preview.html"
"59","https://www.nytimes.com/reuters/2019/03/28/world/europe/28reuters-usa-trump-rally.html"
"60","https://www.nytimes.com/aponline/2019/03/30/us/politics/ap-us-fact-check-week.html"
"61","https://www.nytimes.com/reuters/2019/03/28/world/europe/28reuters-usa-trump-kushner.html"
"62","https://www.nytimes.com/reuters/2019/04/01/us/politics/01reuters-usa-trump-clearances.html"
"63","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-associate-attorney-general.html"
"64","https://www.nytimes.com/2019/03/28/us/politics/white-house-obamacare.html"
"65","https://www.nytimes.com/reuters/2019/04/03/us/politics/03reuters-usa-russia-sanctions-exclusive.html"
"66","https://www.nytimes.com/aponline/2019/03/28/us/ap-us-election-2020-trump-michigan.html"
"67","https://www.nytimes.com/aponline/2019/04/01/us/ap-us-kaine-electoral-college.html"
"68","https://www.nytimes.com/aponline/2019/04/02/world/europe/ap-eu-germany-brunei-sharia-laws.html"
"69","https://www.nytimes.com/2019/04/03/briefing/rupert-murdoch-joe-biden-mozambique.html"
"70","https://www.nytimes.com/2019/03/28/opinion/trump-russia-iran-contra.html"
"71","https://www.nytimes.com/2019/03/29/briefing/brexit-trump-nissan-your-friday-briefing.html"
"72","https://www.nytimes.com/aponline/2019/03/31/us/ap-us-ap-essay-the-politics-of-certainty.html"
"73","https://www.nytimes.com/2019/03/28/briefing/lyft-president-trump-mlb-.html"
"74","https://www.nytimes.com/aponline/2019/03/28/us/politics/ap-us-trump-border-security-.html"
"75","https://www.nytimes.com/2019/04/02/arts/television/stephen-colbert-joe-biden-misconduct.html"
"76","https://www.nytimes.com/2019/03/30/opinion/sunday/donald-trump-rally-michigan.html"
"77","https://www.nytimes.com/2019/03/30/opinion/trump-obamacare-mulvaney.html"
"78","https://www.nytimes.com/2019/03/27/opinion/republicans-health-care.html"
"79","https://www.nytimes.com/2019/03/29/us/politics/trump-2020.html"
"80","https://www.nytimes.com/aponline/2019/03/28/us/ap-10-things-to-know-today.html"
"81","https://www.nytimes.com/reuters/2019/03/28/us/politics/28reuters-usa-justice-liu.html"
"82","https://www.nytimes.com/reuters/2019/03/28/world/europe/28reuters-usa-russia-butina.html"
"83","https://www.nytimes.com/aponline/2019/04/02/arts/ap-us-nielsens.html"
"84","https://www.nytimes.com/reuters/2019/04/02/sports/soccer/02reuters-soccer-germany-grindel.html"
"85","https://www.nytimes.com/2019/03/28/world/australia/al-jazeera-one-nation-nra.html"
"86","https://www.nytimes.com/aponline/2019/04/02/sports/soccer/ap-soc-germany-leadership.html"
"87","https://www.nytimes.com/2019/04/01/briefing/brexit-us-border-india.html"
"88","https://www.nytimes.com/2019/03/31/briefing/brexit-indian-elections-the-kardashians.html"
"89","https://www.nytimes.com/video/us/politics/100000006435155/trump-the-collusion-delusion-is-over.html"
"90","https://www.nytimes.com/2019/03/28/opinion/brexit-theresa-may-parliament.html"
"91","https://www.nytimes.com/reuters/2019/04/03/us/politics/03reuters-usa-trump-tax.html"
"92","https://www.nytimes.com/aponline/2019/04/01/us/ap-us-special-election-pennsylvania-senate-.html"
"93","https://www.nytimes.com/2019/04/03/us/politics/house-intelligence-trump-inaugural.html"
"94","https://www.nytimes.com/aponline/2019/04/03/us/politics/ap-us-wisconsin-supreme-court-.html"
"95","https://www.nytimes.com/interactive/2019/04/03/magazine/new-fox-corporation-disney-deal.html"
"96","https://www.nytimes.com/2019/03/29/opinion/trump-climate-lawsuit-juliana.html"
"97","https://www.nytimes.com/aponline/2019/03/29/us/politics/ap-us-trump-health-care.html"
"98","https://www.nytimes.com/2019/03/31/us/politics/trump-mulvaney-border-close-mexico.html"
"99","https://www.nytimes.com/2019/03/28/theater/the-tragedy-of-julius-caesar-review.html"
"100","https://www.nytimes.com/2019/03/29/business/dealbook/lyft-ipo.html"
